Bigram,Frequency
"('@', 'forsaken')",1
"('forsaken', 'ship')",1
"('ship', '!')",1
"('!', '<e>')",4
"('<s>', '!')",1
"('!', '``')",1
"('<s>', 'Attempts')",1
"('Attempts', 'were')",1
"('to', 'fix')",1
"('fix', 'the')",1
"('the', 'problems')",2
"('problems', 'and')",1
"('were', 'at')",1
"('least', 'partially')",1
"('partially', 'successful')",1
"('successful', 'in')",1
"('in', 'stopping')",1
"('stopping', 'many')",1
"('many', 'of')",7
"('the', 'leaks')",1
"('leaks', '.')",1
"('commissioned', 'on')",1
"('on', '22')",2
"('22', 'November')",3
"('the', 'flagship')",1
"('flagship', 'of')",1
"('of', 'Flag')",1
"('Flag', 'Officer')",1
"('Officer', 'Josiah')",1
"('Josiah', 'Tattnall')",1
"('Tattnall', ',')",1
"(',', 'commander')",2
"('the', 'naval')",2
"('naval', 'defenses')",1
"('defenses', 'of')",1
"('of', 'Georgia')",1
"('<s>', 'Under')",4
"('Under', 'pressure')",1
"('pressure', 'from')",1
"('from', 'Mallory')",1
"('Mallory', 'to')",1
"('engage', 'the')",1
"('the', 'blockading')",2
"('blockading', 'ships')",1
"('ships', ',')",4
"(',', 'Tattnall')",2
"('Tattnall', 'attempted')",2
"('engage', 'them')",1
"('them', 'before')",1
"('before', 'any')",1
"('any', 'ironclads')",1
"('ironclads', 'arrived')",1
"('arrived', 'on')",3
"('on', '5')",1
"('5', 'January')",1
"('January', '1863')",1
"('1863', ',')",1
"('but', 'army')",1
"('army', 'engineers')",1
"('engineers', 'could')",1
"('not', 'clear')",1
"('clear', 'the')",2
"('the', 'obstacles')",2
"('obstacles', 'blocking')",1
"('blocking', 'the')",1
"('the', 'channel')",1
"('channel', 'in')",1
"('a', 'timely')",1
"('timely', 'manner')",1
"('manner', ',')",1
"('despite', 'early')",1
"('early', 'coordination')",1
"('coordination', 'being')",1
"('being', 'made')",1
"('by', 'Tattnall')",1
"('Tattnall', 'to')",1
"('do', 'so')",3
"('so', '.')",2
"('It', 'took')",1
"('took', 'another')",1
"('another', 'month')",1
"('to', 'actually')",1
"('actually', 'clear')",1
"('obstacles', 'and')",1
"('two', 'monitors')",1
"('monitors', 'arrived')",1
"('arrived', 'before')",1
"('of', 'January')",1
"('January', '.')",1
"('<s>', 'Nonetheless')",2
"('Nonetheless', 'Tattnall')",1
"('to', 'pass')",1
"('pass', 'through')",1
"('the', 'obstructions')",2
"('obstructions', 'during')",1
"('during', 'high')",1
"('high', 'tide')",2
"('tide', 'on')",1
"('on', '3')",2
"('3', 'February')",2
"('but', 'high')",1
"('high', 'winds')",1
"('winds', 'prevented')",1
"('prevented', 'the')",1
"('the', 'water')",1
"('water', 'from')",1
"('from', 'rising')",1
"('rising', 'enough')",1
"('enough', 'to')",2
"('to', 'allow')",1
"('allow', 'the')",1
"('ship', 'to')",1
"('After', 'Atlanta')",1
"('Atlanta', 'successfully')",1
"('successfully', 'passed')",1
"('passed', 'through')",1
"('through', 'them')",1
"('on', '19')",1
"('19', 'March')",1
"('March', ',')",1
"('Tattnall', 'planned')",1
"('planned', 'to')",4
"('attack', 'the')",2
"('Union', 'base')",1
"('base', 'at')",3
"('at', 'Port')",2
"('Port', 'Royal')",3
"('Royal', ',')",1
"('South', 'Carolina')",2
"('Carolina', 'while')",1
"('monitors', 'were')",1
"('were', 'attacking')",1
"('attacking', 'Charleston')",1
"('Charleston', '.')",1
"('<s>', 'Deserters')",1
"('Deserters', 'revealed')",1
"('revealed', 'Tatnall')",1
"('Tatnall', ""'s"")",1
"('plan', 'while')",1
"('while', 'he')",2
"('was', 'waiting')",1
"('waiting', 'at')",1
"('head', 'of')",5
"('of', 'Wassaw')",1
"('Wassaw', 'Sound')",2
"('Sound', 'and')",1
"('to', 'retreat')",2
"('retreat', 'when')",2
"('when', 'three')",1
"('three', 'monitors')",1
"('monitors', 'augmented')",1
"('augmented', 'the')",1
"('the', 'defenses')",1
"('defenses', 'at')",2
"('Royal', '.')",1
"('<s>', 'Dissatisfied')",1
"('Dissatisfied', 'with')",1
"('with', 'Tattnall')",1
"('Tattnall', ""'s"")",1
"(""'s"", 'perceived')",1
"('perceived', 'lack')",1
"('lack', 'of')",3
"('of', 'aggressiveness')",1
"('aggressiveness', ',')",1
"(',', 'Mallory')",1
"('Mallory', 'replaced')",1
"('replaced', 'Tattnall')",1
"('Tattnall', 'as')",1
"('as', 'commander')",1
"('Savannah', 'squadron')",1
"('squadron', 'later')",1
"('later', 'that')",2
"('that', 'month')",1
"('with', 'Commander')",1
"('Commander', 'Richard')",1
"('Richard', 'L.')",1
"('L.', 'Page')",1
"('Page', '.')",1
"('<s>', 'Page')",1
"('Page', ',')",1
"('his', 'turn')",1
"('turn', 'was')",1
"('was', 'relieved')",1
"('relieved', 'in')",1
"('May', 'by')",1
"('by', 'Commander')",1
"('Commander', 'William')",1
"('William', 'A.')",1
"('A.', 'Webb')",1
"('Webb', ';')",1
"(';', 'Atlanta')",1
"('Atlanta', 'remained')",1
"('the', 'squadron')",1
"('squadron', 'flagship')",1
"('flagship', 'throughout')",1
"('throughout', 'this')",1
"('<s>', 'Webb')",3
"('Webb', 'demonstrated')",1
"('demonstrated', 'his')",1
"('his', 'aggressiveness')",1
"('aggressiveness', 'when')",1
"('when', 'he')",6
"('he', 'attempted')",1
"('to', 'sortie')",1
"('sortie', 'on')",1
"('first', 'spring')",1
"('spring', 'tide')",1
"('tide', '(')",1
"('(', '30')",1
"('30', 'May')",1
"('May', ')')",1
"(')', 'after')",1
"('after', 'taking')",1
"('taking', 'command')",1
"('command', ',')",1
"('but', 'Atlanta')",1
"(""'s"", 'forward')",1
"('forward', 'engine')",1
"('engine', 'broke')",1
"('broke', 'down')",2
"('after', 'he')",1
"('had', 'passed')",1
"('passed', 'the')",1
"('obstructions', ',')",1
"('ship', 'ran')",1
"('not', 'damaged')",1
"('damaged', 'although')",1
"('although', 'it')",1
"('took', 'over')",1
"('day', 'to')",1
"('to', 'pull')",1
"('pull', 'her')",1
"('her', 'free')",1
"('free', '.')",1
"('He', 'planned')",1
"('make', 'another')",1
"('another', 'attempt')",1
"('attempt', 'on')",1
"('next', 'full')",1
"('full', 'tide')",1
"('tide', ',')",1
"(',', 'rejecting')",1
"('rejecting', 'Mallory')",1
"('Mallory', ""'s"")",1
"(""'s"", 'idea')",1
"('he', 'wait')",1
"('wait', 'until')",1
"('the', 'nearly')",1
"('nearly', 'complete')",1
"('complete', 'ironclad')",1
"('ironclad', 'Savannah')",1
"('Savannah', 'was')",1
"('was', 'finished')",1
"('finished', 'before')",1
"('before', 'his')",1
"('next', 'sortie')",1
"('sortie', '.')",1
"('the', 'meantime')",1
"('meantime', ',')",1
"(',', 'Rear')",1
"('Rear', 'Admiral')",1
"('Admiral', 'Samuel')",1
"('Samuel', 'F.')",1
"('F.', 'Du')",1
"('Du', 'Pont')",1
"('Pont', ',')",1
"('South', 'Atlantic')",1
"('Atlantic', 'Blockading')",2
"('Blockading', 'Squadron')",2
"('Squadron', ',')",1
"('had', 'ordered')",1
"('ordered', 'the')",1
"('monitors', 'Weehawken')",1
"('Weehawken', 'and')",3
"('and', 'Nahant')",2
"('Nahant', 'into')",1
"('into', 'Wassaw')",1
"('Sound', '.')",1
"('<s>', 'Commander')",1
"('Commander', 'John')",1
"('John', 'Rodgers')",1
"('Rodgers', 'in')",1
"('in', 'Weehawken')",1
"('Weehawken', 'had')",1
"('had', 'overall')",1
"('overall', 'command')",1
"('two', 'ships')",1
"('ships', '.')",3
"('early', 'evening')",1
"('evening', 'of')",1
"('15', 'June')",1
"(',', 'Webb')",1
"('Webb', 'began')",1
"('next', 'attempt')",1
"('attempt', 'by')",1
"('by', 'passing')",1
"('passing', 'over')",1
"('lower', 'obstructions')",1
"('obstructions', 'in')",1
"('the', 'Wilmington')",1
"('Wilmington', 'River')",1
"('River', 'and')",1
"('and', 'spent')",2
"('spent', 'the')",2
"('night', 'coaling')",1
"('coaling', '.')",1
"('He', 'moved')",1
"('moved', 'forward')",1
"('forward', 'the')",1
"('next', 'evening')",1
"('evening', 'to')",1
"('a', 'concealed')",1
"('concealed', 'position')",1
"('position', 'within')",1
"('within', 'easy')",1
"('easy', 'reach')",1
"('reach', 'of')",1
"('monitors', 'for')",1
"('an', 'attack')",1
"('attack', 'early')",1
"('early', 'the')",1
"('following', 'morning')",1
"('morning', '.')",1
"('Webb', 'planned')",1
"('to', 'sink')",1
"('sink', 'one')",1
"('monitors', 'with')",1
"('with', 'his')",7
"('his', 'spar')",1
"('torpedo', 'and')",1
"('then', 'deal')",1
"('other', 'one')",1
"('his', 'guns')",1
"('guns', '.')",3
"('The', 'gunboat')",1
"('gunboat', 'Isondiga')",1
"('Isondiga', 'and')",1
"('the', 'tugboat')",1
"('tugboat', 'Resolute')",1
"('Resolute', 'were')",1
"('to', 'accompany')",1
"('accompany', 'him')",1
"('to', 'tow')",1
"('tow', 'one')",1
"('or', 'both')",2
"('both', 'of')",3
"('monitors', 'back')",1
"('back', 'to')",5
"('A', 'lookout')",1
"('lookout', 'aboard')",1
"('aboard', 'Weehawken')",1
"('Weehawken', 'spotted')",1
"('spotted', 'Atlanta')",1
"('Atlanta', 'at')",1
"('at', '04')",1
"('04', ':')",1
"(':', '10')",1
"('10', 'on')",1
"('17', 'June')",1
"('June', '.')",1
"('When', 'the')",4
"('latter', 'ship')",1
"('ship', 'closed')",1
"('closed', 'to')",2
"('to', 'within')",2
"('within', 'about')",1
"('about', '1')",2
"('5', 'miles')",1
"('Union', 'ships')",2
"('she', 'fired')",1
"('fired', 'one')",1
"('one', 'round')",1
"('round', 'from')",1
"('her', 'bow')",1
"('bow', 'gun')",2
"('gun', 'that')",1
"('that', 'passed')",1
"('passed', 'over')",1
"('over', 'Weehawken')",1
"('and', 'landed')",1
"('landed', 'near')",1
"('near', 'Nahant')",1
"('Nahant', '.')",1
"('Shortly', 'afterward')",1
"('afterward', ',')",1
"('Atlanta', 'ran')",1
"('aground', 'on')",1
"('a', 'sandbar')",1
"('sandbar', ';')",1
"(';', 'she')",3
"('briefly', 'able')",1
"('to', 'free')",1
"('free', 'herself')",1
"('herself', ',')",1
"('the', 'pressure')",1
"('pressure', 'of')",1
"('the', 'tide')",1
"('tide', 'pushed')",1
"('pushed', 'her')",1
"('her', 'back')",1
"('back', 'onto')",1
"('onto', 'the')",1
"('the', 'sandbar')",1
"('sandbar', '.')",1
"('This', 'time')",2
"('time', 'Webb')",1
"('Webb', 'was')",1
"('to', 'get')",1
"('get', 'off')",1
"('off', 'and')",1
"('monitors', 'closed')",1
"('closed', 'the')",1
"('the', 'range')",2
"('When', 'Weehawken')",1
"('Weehawken', ',')",2
"('the', 'leading')",2
"('leading', 'ship')",1
"('ship', ',')",5
"(',', 'closed')",2
"('within', '200')",1
"('200', '–')",1
"('–', '300')",1
"('300', 'yards')",1
"('yards', '(')",2
"('180', '–')",1
"('–', '270')",1
"('270', 'm')",1
"(')', 'she')",1
"('she', 'opened')",1
"('opened', 'fire')",1
"('fire', 'with')",1
"('with', 'both')",2
"('her', 'guns')",1
"('The', '11')",1
"('(', '279')",1
"('279', 'mm')",1
"(')', 'shell')",3
"('shell', 'missed')",1
"('missed', ',')",1
"('the', '15')",3
"('(', '381')",1
"('381', 'mm')",1
"('shell', 'struck')",1
"('struck', 'the')",3
"('the', 'ironclad')",3
"('ironclad', 'above')",1
"('the', 'port')",5
"('port', 'middle')",1
"('port', ',')",1
"(',', 'penetrated')",1
"('penetrated', 'her')",1
"('and', 'broke')",1
"('broke', 'the')",1
"('the', 'wooden')",1
"('wooden', 'backing')",1
"('backing', 'behind')",1
"('behind', 'it')",1
"(',', 'spraying')",1
"('spraying', 'splinters')",1
"('splinters', 'and')",1
"('and', 'fragments')",1
"('fragments', 'that')",1
"('that', 'disabled')",1
"('disabled', 'the')",1
"('entire', 'gun')",1
"('gun', 'crew')",1
"('and', 'half')",3
"('half', 'the')",2
"('crew', 'of')",2
"('gun', ',')",2
"(',', 'even')",7
"('even', 'though')",2
"('though', 'it')",2
"('it', 'failed')",2
"('to', 'cleanly')",1
"('cleanly', 'penetrate')",1
"('penetrate', 'through')",1
"('the', 'backing')",1
"('backing', '.')",1
"('The', 'next')",2
"('next', 'shot')",1
"('the', '11')",1
"('inch', 'Dahlgren')",3
"('Dahlgren', 'gun')",1
"('gun', 'struck')",1
"('upper', 'hull')",1
"('hull', 'and')",1
"('and', 'started')",2
"('started', 'a')",1
"('small', 'leak')",1
"('leak', 'even')",1
"('to', 'penetrate')",1
"('penetrate', 'the')",2
"('inch', 'armor')",1
"('armor', 'there')",2
"('next', 'shell')",1
"('shell', 'from')",1
"('Dahlgren', 'glanced')",1
"('glanced', 'off')",1
"('off', 'the')",3
"('the', 'middle')",4
"('middle', 'starboard')",1
"('starboard', 'gun')",1
"('gun', 'shutter')",1
"('shutter', 'as')",1
"('being', 'opened')",1
"('opened', ',')",1
"(',', 'wounding')",1
"('wounding', 'half')",1
"('the', 'gun')",1
"('gun', ""'s"")",1
"(""'s"", 'crew')",1
"('crew', 'with')",1
"('with', 'fragments')",1
"('fragments', '.')",1
"('The', 'final')",2
"('final', 'shell')",1
"('shell', 'was')",1
"('also', 'from')",1
"('Dahlgren', 'and')",1
"('it', 'struck')",1
"('top', 'of')",1
"('the', 'pilothouse')",1
"('pilothouse', ',')",1
"('breaking', 'the')",1
"('the', 'armor')",1
"('there', 'and')",1
"('and', 'wounding')",1
"('wounding', 'both')",1
"('both', 'pilots')",1
"('pilots', 'in')",1
"('in', 'it')",1
"('By', 'this')",1
"('Atlanta', 'had')",1
"('been', 'able')",1
"('to', 'fire')",2
"('fire', 'only')",1
"('seven', 'shots')",1
"('shots', ',')",1
"(',', 'none')",1
"('none', 'of')",2
"('which', 'hit')",1
"('hit', 'either')",1
"('either', 'Union')",1
"('Union', 'ship')",1
"('was', 'hard')",1
"('hard', 'aground')",1
"('aground', 'with')",1
"('with', 'high')",1
"('tide', 'not')",1
"('not', 'due')",1
"('due', 'for')",1
"('for', 'another')",1
"('another', 'hour')",1
"('hour', 'and')",1
"('a', 'half')",3
"('half', '.')",2
"('<s>', 'Weehawken')",1
"('Nahant', 'were')",1
"('were', 'able')",2
"('to', 'freely')",1
"('freely', 'maneuver')",1
"('maneuver', 'into')",1
"('into', 'positions')",1
"('positions', 'from')",1
"('from', 'which')",3
"(""'s"", 'narrow')",1
"('ports', 'would')",1
"('not', 'allow')",1
"('allow', 'her')",1
"('her', 'to')",1
"('to', 'reply')",1
"('reply', 'and')",1
"('the', 'damage')",1
"('damage', 'already')",1
"('already', 'inflicted')",1
"('inflicted', 'by')",1
"('former', 'ship')",1
"('ship', 'made')",1
"('made', 'further')",1
"('further', 'resistance')",1
"('resistance', 'futile')",1
"('futile', '.')",1
"('Webb', 'surrendered')",1
"('surrendered', 'his')",1
"('his', 'ship')",1
"('ship', 'within')",1
"('within', '15')",1
"('15', 'minutes')",1
"('of', 'opening')",1
"('opening', 'fire')",1
"('fire', ',')",3
"('before', 'Nahant')",1
"('Nahant', 'even')",1
"('even', 'had')",1
"('fire', '.')",1
"('<s>', 'Of')",4
"('Of', 'the')",3
"('ironclad', ""'s"")",1
"(""'s"", '21')",1
"('21', 'officers')",1
"('and', '124')",1
"('124', 'enlisted')",1
"('one', 'man')",2
"('man', 'was')",2
"('was', 'killed')",1
"('killed', 'and')",1
"('another', 'sixteen')",1
"('sixteen', 'were')",1
"('were', 'wounded')",1
"('wounded', 'badly')",1
"('badly', 'enough')",1
"('to', 'require')",1
"('require', 'hospitalization')",1
"('hospitalization', '.')",1
"('Navy', '=')",1
"('was', 'easily')",1
"('easily', 'pulled')",1
"('pulled', 'free')",1
"('free', 'by')",1
"('she', 'reached')",1
"('reached', 'Port')",1
"('Royal', 'under')",1
"('under', 'her')",1
"('own', 'power')",1
"('power', '.')",4
"('<s>', 'Not')",3
"('Not', 'badly')",1
"('badly', 'damaged')",1
"('damaged', ',')",1
"('was', 'repaired')",1
"('repaired', 'and')",1
"('and', 'bought')",1
"('bought', 'by')",1
"('The', 'prize')",1
"('prize', 'money')",1
"('money', 'of')",1
"('of', '$')",7
"('$', '350')",2
"('350', '@')",1
"('was', 'shared')",1
"('shared', 'between')",1
"('the', 'crews')",1
"('crews', 'of')",2
"('of', 'Weehawken')",1
"(',', 'Nahant')",1
"('Nahant', 'and')",1
"('gunboat', 'Cimarron')",1
"('Cimarron', ',')",1
"('only', 'ships')",1
"('ships', 'within')",1
"('within', 'signaling')",1
"('signaling', 'distance')",1
"('distance', '.')",1
"('ship', 'retained')",1
"('retained', 'her')",2
"('her', 'name')",2
"('name', 'and')",2
"('commissioned', 'again')",1
"('again', 'on')",1
"('2', 'February')",1
"('February', '1864')",1
"(',', 'rearmed')",1
"('rearmed', 'with')",1
"('of', '8')",2
"('(', '203')",1
"('203', 'mm')",1
"(',', '150')",1
"('150', '@')",2
"('pound', 'Parrott')",3
"('Parrott', 'rifles')",2
"('rifles', 'in')",1
"('and', '6')",1
"('inch', ',')",1
"(',', '100')",1
"('100', '@')",3
"('rifles', 'amidships')",1
"('amidships', '.')",1
"('The', '150')",1
"('Parrott', 'rifle')",1
"('rifle', 'weighed')",1
"('weighed', '16')",1
"('500', 'pounds')",1
"('500', 'kg')",1
"('was', '17')",1
"('17', 'calibers')",1
"('calibers', 'long')",2
"('The', '100')",1
"('pounder', 'weighed')",1
"('weighed', '9')",1
"('800', 'pounds')",1
"('@', '400')",3
"('400', 'kg')",1
"('was', '20')",1
"('20', 'calibers')",1
"('It', 'fired')",1
"('fired', 'a')",1
"('a', '100')",1
"('(', '45')",1
"('45', 'kg')",1
"('shell', 'a')",1
"('a', 'distance')",1
"('of', '6')",1
"('@', '900')",1
"('900', 'yards')",1
"('300', 'm')",1
"('an', 'elevation')",1
"('elevation', 'of')",1
"('+', '25')",1
"('25', '°')",1
"('All', 'four')",1
"('her', 'Brooke')",1
"('rifles', 'are')",1
"('are', 'currently')",1
"('currently', 'located')",1
"('in', 'Willard')",1
"('Willard', 'Park')",1
"('the', 'Washington')",1
"('Washington', 'Navy')",1
"('Navy', 'Yard')",1
"('Yard', '.')",1
"('was', 'assigned')",3
"('the', 'North')",2
"('North', 'Atlantic')",1
"('Squadron', 'and')",1
"('time', 'stationed')",1
"('stationed', 'up')",1
"('up', 'the')",3
"('River', 'where')",1
"('where', 'she')",3
"('she', 'could')",1
"('could', 'support')",1
"('support', 'operations')",1
"('operations', 'against')",1
"('against', 'Richmond')",1
"('Richmond', 'and')",1
"('and', 'defend')",1
"('defend', 'against')",2
"('a', 'sortie')",1
"('sortie', 'by')",1
"('the', 'ironclads')",1
"('ironclads', 'of')",1
"('River', 'Squadron')",1
"('Squadron', '.')",2
"('On', '21')",1
"('21', 'May')",1
"('May', '1864')",1
"('she', 'and')",3
"('gunboat', 'Dawn')",1
"('Dawn', 'fired')",1
"('fired', 'on')",1
"('on', 'and')",1
"('and', 'dispersed')",1
"('dispersed', 'Confederate')",1
"('Confederate', 'cavalry')",1
"('cavalry', 'that')",1
"('was', 'attacking')",1
"('attacking', 'Fort')",1
"('Fort', 'Powhatan')",1
"('Powhatan', 'and')",1
"('was', 'deployed')",1
"('deployed', 'further')",1
"('further', 'upriver')",1
"('upriver', 'in')",1
"('February', '1865')",1
"('1865', 'after')",1
"('the', 'Battle')",2
"('Battle', 'of')",2
"('of', 'Trent')",1
"('Trent', ""'s"")",1
"(""'s"", 'Reach')",1
"('Reach', 'to')",1
"('to', 'better')",1
"('better', 'blockade')",1
"('blockade', 'the')",2
"('Confederate', 'ironclads')",1
"('ironclads', 'at')",1
"('at', 'Richmond')",1
"('Richmond', '.')",1
"('April', ',')",2
"('in', 'Philadelphia')",1
"('Philadelphia', 'on')",1
"('on', '21')",1
"('21', 'June')",1
"('June', '1865')",1
"('reserve', 'at')",1
"('at', 'League')",1
"('League', 'Island')",1
"('Island', '.')",1
"('to', 'Sam')",1
"('Sam', 'Ward')",1
"('Ward', 'on')",1
"('on', '4')",1
"('4', 'May')",1
"('May', '1869')",1
"('1869', 'for')",1
"('the', 'price')",2
"('price', 'of')",3
"('$', '25')",1
"('25', '@')",1
"('000', 'and')",2
"('and', 'subsequently')",2
"('subsequently', 'delivered')",1
"('delivered', 'to')",1
"('to', 'representatives')",2
"('representatives', 'of')",2
"('of', 'Haiti')",2
"('Haiti', 'on')",1
"('on', '8')",1
"('8', 'December')",1
"('December', 'by')",1
"('by', 'Sydney')",1
"('Sydney', 'Oaksmith')",1
"('Oaksmith', ',')",1
"('a', 'lawyer')",1
"('lawyer', 'who')",1
"('had', 'received')",1
"('received', 'an')",1
"('an', 'advance')",1
"('advance', 'of')",1
"('$', '50')",1
"('50', '@')",2
"('000', 'on')",1
"('her', 'purchase')",1
"('purchase', 'price')",1
"('$', '260')",1
"('260', '@')",1
"('seized', 'by')",1
"('the', 'Customs')",1
"('Customs', 'Service')",1
"('Service', ',')",1
"(',', 'possibly')",1
"('possibly', 'for')",1
"('for', 'violations')",1
"('violations', 'of')",1
"('of', 'neutrality')",1
"('neutrality', 'laws')",1
"('laws', 'as')",1
"('she', 'had')",3
"('had', 'just')",1
"('just', 'loaded')",1
"('loaded', 'four')",1
"('four', 'large')",1
"('large', 'guns')",1
"('guns', 'and')",1
"('of', 'recruits')",1
"('recruits', 'for')",1
"('the', 'forces')",4
"('forces', 'of')",4
"('of', 'Sylvain')",1
"('Sylvain', 'Salnave')",1
"('Salnave', ',')",1
"(',', 'President')",1
"('was', 'embroiled')",1
"('embroiled', 'in')",1
"('a', 'civil')",3
"('civil', 'war')",1
"('released', 'and')",1
"('and', 'sailed')",2
"('sailed', 'for')",1
"('for', 'Port')",1
"('Port', '@')",1
"('@', 'au')",1
"('au', '@')",1
"('@', 'Prince')",1
"('Prince', 'three')",1
"('She', 'broke')",1
"('down', 'in')",1
"('in', 'Delaware')",1
"('Delaware', 'Bay')",1
"('Bay', 'and')",1
"('to', 'put')",1
"('put', 'in')",1
"('at', 'Chester')",1
"('Chester', ',')",1
"(',', 'Pennsylvania')",1
"('Pennsylvania', 'for')",1
"('for', 'repairs')",1
"('repairs', '.')",1
"('now', 'renamed')",1
"('renamed', 'either')",1
"('either', 'Triumph')",1
"('Triumph', 'or')",1
"('or', 'Triumfo')",1
"('Triumfo', ',')",1
"(',', 'departed')",1
"('departed', 'on')",1
"('on', '18')",1
"('18', 'December')",1
"('1869', 'and')",1
"('and', 'vanished')",1
"('vanished', 'en')",1
"('en', 'route')",1
"('route', ',')",1
"(',', 'apparently')",1
"('apparently', 'sinking')",1
"('sinking', 'with')",1
"('loss', 'of')",5
"('all', 'hands')",1
"('hands', ',')",1
"(',', 'either')",3
"('either', 'off')",1
"('off', 'Cape')",1
"('Cape', 'Hatteras')",1
"('Hatteras', 'or')",1
"('the', 'Delaware')",1
"('Delaware', 'Capes')",1
"('Capes', '.')",1
"('=', 'Jacqueline')",2
"('Jacqueline', 'Fernandez')",3
"('Fernandez', '=')",1
"('Fernandez', '(')",1
"('(', 'born')",2
"('born', '11')",1
"('11', 'August')",2
"('August', '1985')",2
"('1985', ')')",1
"('a', 'Sri')",1
"('Sri', 'Lankan')",4
"('Lankan', 'actress')",1
"('actress', ',')",1
"(',', 'former')",1
"('former', 'model')",1
"('model', ',')",1
"('the', 'winner')",2
"('winner', 'of')",3
"('the', '2006')",3
"('2006', 'Miss')",1
"('Miss', 'Universe')",5
"('Universe', 'Sri')",3
"('Sri', 'Lanka')",7
"('Lanka', 'pageant')",2
"('pageant', '.')",2
"('As', 'Miss')",1
"('Lanka', 'she')",1
"('she', 'represented')",1
"('represented', 'her')",1
"('her', 'country')",1
"('country', 'at')",2
"('2006', 'world')",2
"('world', 'Miss')",2
"('Universe', 'pageant')",1
"('She', 'graduated')",1
"('graduated', 'with')",1
"('a', 'degree')",2
"('degree', 'in')",2
"('in', 'mass')",2
"('mass', 'communication')",2
"('communication', 'from')",2
"('the', 'University')",3
"('of', 'Sydney')",2
"('Sydney', ',')",1
"('worked', 'as')",2
"('a', 'television')",3
"('television', 'reporter')",3
"('reporter', 'in')",2
"('in', 'Sri')",3
"('Lanka', '.')",2
"('While', 'on')",1
"('a', 'modelling')",1
"('modelling', 'assignment')",1
"('assignment', 'in')",1
"('in', 'India')",4
"('India', 'in')",1
"('in', '2009')",2
"('2009', ',')",2
"(',', 'Fernandez')",20
"('Fernandez', 'successfully')",1
"('successfully', 'auditioned')",2
"('auditioned', 'for')",2
"('for', 'Sujoy')",2
"('Sujoy', 'Ghosh')",2
"('Ghosh', ""'s"")",2
"(""'s"", 'fantasy')",2
"('fantasy', 'drama')",1
"('drama', 'Aladin')",1
"('Aladin', ',')",1
"('marked', 'her')",1
"('her', 'acting')",3
"('acting', 'debut')",2
"('debut', '.')",3
"('<s>', 'Fernandez')",9
"('Fernandez', ""'"")",1
"(""'"", 'breakthrough')",1
"('breakthrough', 'role')",1
"('role', 'was')",1
"('in', 'Mohit')",1
"('Mohit', 'Suri')",1
"('Suri', ""'s"")",1
"(""'s"", 'psychological')",1
"('psychological', 'thriller')",1
"('thriller', 'Murder')",2
"('Murder', '2')",2
"('2', '(')",3
"('(', '2011')",1
"('2011', ')')",1
"('first', 'commercial')",2
"('commercial', 'success')",3
"('success', '.')",2
"('was', 'followed')",1
"('by', 'glamorous')",1
"('glamorous', 'roles')",2
"('roles', 'in')",1
"('the', 'ensemble')",2
"('ensemble', '@')",1
"('@', 'comedy')",1
"('comedy', 'Housefull')",2
"('Housefull', '2')",3
"('(', '2012')",1
"('2012', ')')",1
"('its', 'sequel')",1
"('sequel', 'Housefull')",1
"('Housefull', '3')",1
"('3', ',')",2
"('action', 'thriller')",2
"('thriller', 'Race')",1
"('Race', '2')",3
"('(', '2013')",1
"('2013', ')')",1
"('which', 'were')",5
"('were', 'box')",1
"('box', '@')",2
"('@', 'office')",2
"('office', 'successes')",1
"('successes', '.')",1
"('Her', 'performance')",1
"('performance', 'in')",1
"('first', 'of')",2
"('these', 'garnered')",1
"('garnered', 'her')",1
"('her', 'an')",1
"('an', 'IIFA')",1
"('IIFA', 'Award')",3
"('Award', 'for')",3
"('for', 'Best')",1
"('Best', 'Supporting')",2
"('Supporting', 'Actress')",2
"('Actress', 'nomination')",2
"('nomination', '.')",1
"('In', '2014')",3
"('2014', ',')",5
"('Fernandez', 'played')",3
"('leading', 'lady')",1
"('lady', 'in')",1
"('in', 'Sajid')",3
"('Sajid', 'Nadiadwala')",2
"('Nadiadwala', ""'s"")",2
"(""'s"", 'Kick')",1
"('Kick', ',')",2
"('which', 'is')",3
"('the', 'highest')",2
"('highest', '@')",2
"('@', 'grossing')",2
"('grossing', 'Bollywood')",2
"('Bollywood', 'films')",1
"('films', 'of')",1
"('all', 'time')",2
"('popular', 'actresses')",1
"('actresses', 'in')",1
"('India', ',')",1
"('the', 'recipient')",1
"('recipient', 'of')",1
"('the', 'IIFA')",2
"('for', 'Star')",2
"('Star', 'Debut')",2
"('Debut', 'of')",2
"('the', 'Year')",5
"('Year', '–')",1
"('–', 'Female')",1
"('Female', 'in')",1
"('Alongside', 'her')",1
"('her', 'screen')",1
"('screen', 'acting')",1
"('acting', 'career')",1
"('Fernandez', 'has')",5
"('has', 'participated')",2
"('in', 'stage')",1
"('stage', 'shows')",1
"('shows', ',')",1
"('is', 'active')",1
"('active', 'in')",1
"('in', 'humanitarian')",1
"('humanitarian', 'work')",1
"('and', 'modeling')",1
"('modeling', 'career')",1
"('career', '=')",3
"('=', 'Fernandez')",2
"('Fernandez', 'was')",3
"('on', '11')",1
"('in', 'Manama')",1
"('Manama', ',')",1
"(',', 'Bahrain')",1
"('Bahrain', ',')",2
"('was', 'raised')",1
"('raised', 'in')",1
"('a', 'multi')",1
